행정동명,보증금(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
압구정동,55000,82.23,11680545,35,6,3,25,4,3,0,20,강남구,0.07556391443,0.7483215982,DANGER
양재1동,35488,59.97,11650651,21,9,0,11,12,0,0,88,서초구,0.04687016667,0.772967265,NORMAL
양평1동,36000,59.58,11560610,7,2,0,3,5,1,0,23,영등포구,0.051559658,0.8032157427,DANGER
양평2동,31500,37.66,11560620,7,6,0,6,8,3,0,36,영등포구,0.051559658,0.8032157427,DANGER
여의동,65000,92.13,11560540,45,6,0,70,23,1,0,66,영등포구,0.051559658,0.8032157427,DANGER
역삼1동,31000,36.92,11680640,68,2,0,49,15,4,0,45,강남구,0.07556391443,0.7483215982,DANGER
역촌동,20650,44.24,11380625,20,3,0,5,5,0,0,51,은평구,0.03980499635,0.765620143,NORMAL
연남동,23000,48.16,11440710,2,4,0,1,2,0,0,23,마포구,0.04814461946,0.7794911334,DANGER
연희동,20000,53.815,11410615,17,18,0,7,7,2,0,70,서대문구,0.02541481582,0.723466407,SAFE
염리동,45100,59.74,11440610,3,7,0,1,3,2,0,10,마포구,0.04814461946,0.7794911334,DANGER
염창동,49000,59.99,11500510,16,4,0,3,5,0,0,37,강서구,0.04959229884,0.8510479042,DANGER
영등포동,25700,28.86,11560535,41,2,0,17,10,17,0,42,영등포구,0.051559658,0.8032157427,DANGER
오금동,38488,59.87,11710570,13,12,0,5,5,0,0,30,송파구,0.06401959935,0.7325086973,DANGER
오류1동,20000,45.5,11530770,11,4,0,4,5,0,0,23,구로구,0.04179710217,0.7291296625,NORMAL
오류2동,24923,84.92,11530780,10,12,0,1,3,0,0,87,구로구,0.04179710217,0.7291296625,NORMAL
오륜동,31500,50.485,11710566,6,19,0,6,4,0,0,18,송파구,0.06401959935,0.7325086973,DANGER
옥수동,75000,84.51,11200645,10,6,0,2,4,0,0,47,성동구,0.02619433549,0.7132735002,SAFE
왕십리2동,68000,59.99,11200520,5,2,0,0,2,0,0,19,성동구,0.02619433549,0.7132735002,SAFE
왕십리도선동,30000,46,11200535,22,6,0,4,4,0,0,26,성동구,0.02619433549,0.7132735002,SAFE
용강동,55000,59.96,11440590,11,3,0,6,7,0,0,25,마포구,0.04814461946,0.7794911334,DANGER
용답동,22500,26.23,11200790,8,1,1,2,7,0,0,13,성동구,0.02619433549,0.7132735002,SAFE
용문동,28682.5,40.505,11170590,3,0,0,0,1,0,0,22,용산구,0.0411041958,0.7450331126,NORMAL
용산2가동,20000,50.77,11170520,4,5,0,0,3,0,0,30,용산구,0.0411041958,0.7450331126,NORMAL
용신동,28000,40.88,11230536,25,4,1,8,10,5,0,46,동대문구,0.03979262302,0.7717661692,NORMAL
우이동,16880,52.2,11305645,7,4,0,0,2,0,0,57,강북구,0.02832254792,0.9003931848,SAFE
원효로1동,34650,38.61,11170560,6,5,4,3,6,0,0,31,용산구,0.0411041958,0.7450331126,NORMAL
원효로2동,26600,39.98,11170570,4,5,2,2,4,0,0,27,용산구,0.0411041958,0.7450331126,NORMAL
월계2동,28000,59.22,11350570,5,23,0,0,4,0,0,65,노원구,0.0383696903,0.7768461787,NORMAL
월곡2동,22500,59.52,11290725,12,15,0,4,6,0,0,36,성북구,0.02702334847,0.8008241758,SAFE
위례동,63000,59.97,11710647,5,5,0,1,3,0,0,32,송파구,0.06401959935,0.7325086973,DANGER
은천동,30000,58.59,11620605,9,5,0,0,6,0,0,43,관악구,0.05549437632,0.7839464883,DANGER
을지로동,60000,47.98,11140605,13,0,1,10,5,5,0,24,중구,0.0365631844,0.7377326565,NORMAL
응봉동,53275,75.51,11200580,2,2,0,0,3,0,0,31,성동구,0.02619433549,0.7132735002,SAFE
응암3동,47000,59.96,11380600,17,5,2,3,3,0,0,31,은평구,0.03980499635,0.765620143,NORMAL
이문1동,49575,59.95,11230740,13,35,0,2,5,0,0,27,동대문구,0.03979262302,0.7717661692,NORMAL
이촌2동,65000,84.78,11170640,1,0,0,0,2,0,0,11,용산구,0.0411041958,0.7450331126,NORMAL
이태원1동,28500,44.76,11170650,3,1,3,5,8,0,0,15,용산구,0.0411041958,0.7450331126,NORMAL
이화동,16500,35,11110640,12,39,0,4,4,0,0,29,종로구,0.03421225207,1.174683544,NORMAL
자양4동,30000,47.495,11215847,16,2,1,2,5,1,0,17,광진구,0.03551145152,0.7731707317,NORMAL
잠실6동,90000,84.79,11710710,24,2,0,17,4,1,0,15,송파구,0.06401959935,0.7325086973,DANGER
